,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,sunrise,sunset,bc,br,dz,fg,fg+,fu,gr,hz,mi,ra,sn,sq,ts,vc
38,2007-06-08,81.0,60.0,70.5,53.5,61.5,0.0,5.5,0.0,29.21,29.84,10.100000000000001,27.0,13.100000000000001,4.283333333333333,19.416666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2007-06-09,79.0,54.5,66.75,48.0,57.5,0.0,2.0,0.0,29.39,30.060000000000002,1.3499999999999999,26.0,4.85,4.266666666666667,19.416666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2007-06-10,81.0,58.0,69.5,50.5,59.5,0.0,4.5,0.0,29.365000000000002,30.045,4.699999999999999,16.5,5.699999999999999,4.266666666666667,19.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2007-06-11,85.5,61.5,73.5,51.5,61.0,0.0,8.5,0.0,29.439999999999998,30.1,5.75,10.0,7.65,4.266666666666667,19.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2007-06-12,82.5,64.0,73.25,50.5,60.5,0.0,8.5,0.0,29.465,30.15,8.850000000000001,5.0,9.4,4.266666666666667,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2007-06-13,86.5,64.0,75.25,53.0,62.0,0.0,10.5,0.0,14.68,15.045,7.1,5.0,4.3,4.266666666666667,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2007-06-14,89.0,66.0,77.5,54.5,63.5,0.0,13.0,0.0,29.33,30.009999999999998,5.75,6.0,6.6,4.266666666666667,19.466666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2007-06-15,90.0,65.0,77.5,56.0,64.5,0.0,12.5,0.0,29.310000000000002,29.979999999999997,3.9499999999999997,7.5,4.5,4.266666666666667,19.466666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2007-06-16,92.5,67.0,79.75,60.5,67.5,0.0,15.0,0.0,29.295,29.965,3.45,25.0,5.949999999999999,4.266666666666667,19.483333333333334,0,0,0,0,0,0,0,1,0,1,0,0,0,0
47,2007-06-17,91.0,70.5,80.75,64.5,70.0,0.0,16.0,0.08,29.255000000000003,29.939999999999998,3.4,11.0,6.199999999999999,4.266666666666667,19.483333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,2007-06-18,89.0,71.0,80.0,65.0,70.0,0.0,15.0,0.15000000000000002,29.155,29.835,13.1,20.0,13.85,4.266666666666667,19.483333333333334,0,0,0,0,0,0,0,1,0,1,0,0,1,0
49,2007-06-19,80.5,65.0,72.75,55.0,63.0,0.0,8.0,0.755,29.285,29.939999999999998,10.399999999999999,28.5,11.350000000000001,4.266666666666667,19.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0
50,2007-06-20,84.5,61.5,73.0,51.0,61.0,0.0,8.5,0.0,29.425,30.095,6.85,27.5,8.25,4.266666666666667,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2007-06-21,78.5,63.5,71.0,51.0,60.5,0.0,6.0,0.005,29.384999999999998,30.07,3.6,2.5,10.149999999999999,4.266666666666667,19.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2007-06-22,75.5,61.5,68.5,49.5,58.0,0.0,4.0,0.0,29.36,30.055,7.15,6.5,8.399999999999999,4.283333333333333,19.516666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,2007-06-23,67.5,61.5,64.5,59.0,61.5,0.0,0.0,0.195,29.255000000000003,29.955,7.449999999999999,11.5,8.55,4.283333333333333,19.516666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,0
54,2007-06-24,76.0,64.0,70.0,62.0,65.0,0.0,5.0,0.0,29.295,29.965,6.3,9.5,7.0,4.283333333333333,19.516666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0
55,2007-06-25,87.5,66.0,76.75,66.5,70.0,0.0,12.0,0.0,29.41,30.064999999999998,3.95,13.0,6.35,4.283333333333333,19.516666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0
56,2007-06-26,91.5,71.5,81.5,69.0,72.0,0.0,16.5,0.08,29.42,30.1,6.699999999999999,21.5,7.6,4.3,19.516666666666666,0,1,0,0,0,0,0,1,0,1,0,0,1,1
57,2007-06-27,90.0,71.0,80.5,69.5,72.0,0.0,15.5,0.25,29.325,30.009999999999998,7.7,24.0,8.65,4.3,19.516666666666666,0,1,0,0,0,0,0,0,0,1,0,0,1,0
58,2007-06-28,73.5,59.5,66.5,55.5,60.5,0.0,1.5,0.0,29.42,30.08,12.05,2.5,12.9,4.316666666666666,19.516666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2007-06-29,70.5,56.0,63.25,55.5,59.5,1.5,0.0,0.0,29.439999999999998,30.119999999999997,7.5,2.0,8.25,4.316666666666666,19.516666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2007-06-30,78.0,56.0,67.0,47.5,57.0,0.0,2.5,0.0,29.435000000000002,30.119999999999997,5.0,3.5,6.0,4.316666666666666,19.516666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2007-07-01,75.5,57.5,66.5,51.5,58.5,0.0,2.0,0.0,29.535,30.22,9.05,4.0,9.149999999999999,4.333333333333333,19.516666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2007-07-02,78.0,55.5,66.75,50.0,58.5,0.0,2.0,0.0,29.52,30.215,6.65,13.0,8.3,4.333333333333333,19.516666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2007-07-03,83.0,61.5,72.25,56.5,63.0,0.0,7.5,0.245,29.345,30.055,6.550000000000001,21.0,7.35,4.35,19.516666666666666,0,1,0,0,0,0,0,0,0,1,0,0,1,0
64,2007-07-04,85.0,67.0,76.0,65.0,69.0,0.0,11.5,0.41000000000000003,29.205,29.89,3.8499999999999996,26.0,8.5,4.366666666666666,19.5,0,1,0,0,0,1,0,1,0,1,0,0,1,0
65,2007-07-05,88.5,70.5,79.5,60.0,67.0,0.0,14.5,0.0,29.265,29.93,5.35,32.0,7.5,4.366666666666666,19.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0
66,2007-07-06,85.0,67.0,76.0,57.0,64.5,0.0,11.0,0.0,29.35,30.020000000000003,3.25,6.0,5.5,4.383333333333334,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2007-07-07,89.0,66.0,77.5,62.5,68.5,0.0,12.5,0.0,29.21,29.905,7.9,22.5,8.35,4.383333333333334,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2007-07-08,93.5,75.0,84.25,67.0,72.0,0.0,19.5,0.0,29.085,29.765,12.75,23.5,12.899999999999999,4.4,19.483333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2007-07-09,93.5,71.0,82.25,66.5,70.5,0.0,17.5,0.27,29.134999999999998,29.795,4.85,23.5,8.8,4.416666666666667,19.483333333333334,0,0,0,0,0,0,0,0,0,1,0,0,1,1
70,2007-07-10,89.0,69.5,79.25,67.0,70.5,0.0,14.5,0.255,29.095,29.765,8.399999999999999,23.0,10.35,4.416666666666667,19.483333333333334,0,0,0,0,0,0,0,1,0,1,0,0,1,1
71,2007-07-11,77.0,62.5,69.75,51.0,59.0,0.0,5.0,0.0,29.255000000000003,29.925,8.95,30.0,11.05,4.433333333333334,19.466666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2007-07-12,80.0,60.5,70.25,51.0,59.5,0.0,5.5,0.0,29.25,29.925,9.7,28.5,11.25,4.45,19.466666666666665,0,0,0,0,0,0,0,0,0,0,0,0,1,1
73,2007-07-13,76.0,58.5,67.25,52.5,58.5,0.0,2.5,0.0,29.295,29.98,1.7,4.0,5.55,4.466666666666667,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2007-07-14,84.5,61.5,73.0,55.0,62.0,0.0,8.5,0.0,29.11,29.79,8.350000000000001,25.5,13.55,4.466666666666667,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2007-07-15,81.0,62.0,71.5,52.5,61.0,0.0,6.5,0.0,29.22,29.884999999999998,1.65,19.0,5.7,4.483333333333333,19.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2007-07-16,82.0,65.5,73.75,60.0,65.0,0.0,9.0,0.23,29.28,29.950000000000003,5.0,23.5,5.9,4.5,19.416666666666668,0,1,0,0,0,0,0,0,0,1,0,0,1,0
77,2007-07-17,83.0,68.5,75.75,65.5,69.0,0.0,11.0,0.11,29.21,29.895,5.75,23.0,6.95,4.516666666666667,19.416666666666668,0,1,0,0,0,0,0,0,0,1,0,0,1,1
78,2007-07-18,85.0,69.0,77.0,68.5,71.0,0.0,12.0,1.235,29.145,29.835,9.7,24.0,10.35,4.533333333333333,19.4,0,1,0,0,0,0,0,1,0,1,0,0,1,1
79,2007-07-19,82.5,63.0,72.75,62.5,66.0,0.0,8.0,0.085,29.235,29.89,7.35,18.5,13.15,4.55,19.383333333333333,0,1,1,0,0,0,0,1,0,0,0,0,0,0
80,2007-07-20,74.5,60.0,67.25,52.5,59.0,0.0,2.5,0.0,29.465,30.130000000000003,9.95,3.5,10.3,4.55,19.383333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2007-07-21,74.5,58.0,66.25,52.0,58.5,0.0,1.5,0.0,29.54,30.215,6.15,3.5,7.4,4.566666666666666,19.366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2007-07-22,81.0,59.5,70.25,54.5,61.0,0.0,5.5,0.0,29.515,30.205,1.7999999999999998,17.0,3.4,4.583333333333333,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2007-07-23,82.5,61.5,72.0,55.0,63.0,0.0,7.5,0.0,29.395000000000003,30.095,3.05,10.5,3.95,4.6,19.333333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2007-07-24,82.0,65.0,73.5,57.5,64.0,0.0,9.0,0.0,29.35,30.035,2.1,20.5,5.050000000000001,4.616666666666667,19.316666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2007-07-25,84.0,70.5,77.25,60.5,66.5,0.0,12.5,0.0,29.32,29.994999999999997,6.1,24.0,6.8,4.633333333333333,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2007-07-26,83.5,65.0,74.25,65.0,68.0,0.0,9.5,0.54,29.22,29.915,7.2,22.0,9.65,4.65,19.3,0,1,0,0,0,0,0,1,0,1,0,0,1,0
87,2007-07-27,83.0,70.0,76.5,67.5,70.0,0.0,12.0,0.10500000000000001,29.134999999999998,29.810000000000002,2.1,19.5,8.0,4.666666666666667,19.283333333333335,0,1,0,0,0,0,0,1,0,1,0,0,0,0
88,2007-07-28,80.0,68.0,74.0,65.0,68.0,0.0,9.0,0.0,29.255000000000003,29.92,10.3,3.0,10.45,4.683333333333334,19.266666666666666,0,1,0,0,0,0,0,1,0,0,0,0,0,0
89,2007-07-29,85.0,65.0,75.0,56.5,64.0,0.0,10.0,0.0,29.310000000000002,29.979999999999997,5.55,5.0,6.300000000000001,4.7,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2007-07-30,87.5,63.5,75.5,56.0,64.5,0.0,11.0,0.0,29.36,30.020000000000003,3.45,6.0,4.449999999999999,4.716666666666667,19.233333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2007-07-31,90.0,68.5,79.25,60.5,68.0,0.0,14.5,0.0,29.36,30.03,3.65,5.5,4.95,4.733333333333333,19.216666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2007-08-01,91.5,69.0,80.25,62.5,69.5,0.0,15.5,0.0,29.314999999999998,29.990000000000002,2.8,11.0,3.9,4.75,19.183333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,2007-08-02,91.0,71.5,81.25,66.0,71.5,0.0,16.5,0.0,29.285,29.96,6.0,24.5,6.550000000000001,4.766666666666667,19.166666666666668,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,2007-08-03,89.0,71.0,80.0,57.0,66.5,0.0,15.5,0.0,29.335,30.009999999999998,3.0,4.5,5.75,4.783333333333333,19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2007-08-04,81.0,66.0,73.5,58.0,64.5,0.0,9.0,0.025,29.335,30.020000000000003,5.800000000000001,8.5,6.35,4.8,19.133333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,2007-08-05,88.0,67.5,77.75,71.0,72.5,0.0,13.0,1.2,29.115,29.799999999999997,6.2,21.5,9.899999999999999,4.816666666666666,19.116666666666667,0,1,0,0,0,0,0,1,0,1,0,0,1,1
97,2007-08-06,86.5,74.5,80.5,72.0,74.0,0.0,15.5,0.155,29.15,29.82,2.1,10.0,4.75,4.833333333333333,19.1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
98,2007-08-07,91.5,72.5,82.0,73.0,76.0,0.0,17.5,0.685,29.085,29.75,6.25,24.5,8.9,4.85,19.066666666666666,0,1,0,0,0,0,0,0,0,1,0,0,1,1
99,2007-08-08,87.0,73.5,80.25,71.5,73.5,0.0,15.5,0.075,29.155,29.82,2.25,3.5,6.65,4.866666666666667,19.05,0,1,1,0,0,0,0,1,0,1,0,0,1,0
100,2007-08-09,84.5,72.5,78.5,71.0,73.0,0.0,13.5,0.255,29.16,29.83,2.8,28.0,6.15,4.883333333333333,19.033333333333335,0,1,0,0,0,0,0,1,0,1,0,0,1,0
101,2007-08-10,86.0,71.5,78.75,68.5,72.0,0.0,14.0,0.0,29.29,29.950000000000003,3.75,4.0,5.65,4.9,19.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,2007-08-11,88.5,67.5,78.0,65.0,70.0,0.0,13.0,0.0,29.345,30.009999999999998,3.1500000000000004,19.5,3.9,4.916666666666667,18.983333333333334,0,1,0,0,0,0,0,1,0,0,0,0,0,0
103,2007-08-12,87.5,67.5,77.5,67.0,70.5,0.0,13.0,0.26,29.369999999999997,30.049999999999997,1.7999999999999998,6.0,6.0,4.933333333333334,18.966666666666665,0,0,0,0,0,0,0,0,0,1,0,0,1,0
104,2007-08-13,80.5,67.0,73.75,55.5,63.5,0.0,9.0,0.0,29.415,30.095,6.550000000000001,7.0,7.300000000000001,4.95,18.933333333333334,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,2007-08-14,84.0,65.0,74.5,66.5,69.5,0.0,10.0,0.43,29.259999999999998,29.925,6.15,24.0,8.5,4.966666666666667,18.916666666666668,0,1,0,0,0,0,0,0,0,1,0,0,1,0
106,2007-08-15,80.5,71.5,76.0,68.0,70.5,0.0,11.5,0.53,29.200000000000003,29.880000000000003,4.15,6.5,6.449999999999999,4.983333333333333,18.9,0,1,0,0,0,0,0,0,0,1,0,0,1,0
107,2007-08-16,77.0,66.0,71.5,64.5,67.5,0.0,6.5,0.0,29.305,29.96,3.55,1.0,5.7,5.0,18.866666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,2007-08-17,79.5,62.5,71.0,54.0,61.5,0.0,6.5,0.0,29.435000000000002,30.09,6.0,31.5,7.1,5.016666666666667,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2007-08-18,68.5,59.5,64.0,54.0,58.0,0.5,0.0,0.255,29.46,30.155,6.25,12.5,7.55,5.033333333333333,18.816666666666666,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,2007-08-19,68.5,62.0,65.25,62.5,64.0,0.0,0.5,1.33,29.27,29.985,5.75,10.0,7.45,5.05,18.8,0,1,0,0,0,0,0,0,0,1,0,0,1,0
111,2007-08-20,77.0,68.0,72.5,68.5,69.5,0.0,7.5,0.6950000000000001,29.18,29.86,1.45,16.0,5.800000000000001,5.066666666666666,18.766666666666666,0,1,0,0,0,0,0,1,0,1,0,0,1,0
112,2007-08-21,86.0,69.0,77.5,70.0,72.0,0.0,12.5,0.005,29.235,29.9,3.65,17.5,6.0,5.083333333333333,18.75,0,1,0,0,0,0,0,1,0,0,0,0,0,0
113,2007-08-22,90.0,69.5,79.75,70.5,73.0,0.0,15.0,0.625,29.259999999999998,29.935000000000002,5.199999999999999,21.0,8.95,5.1,18.716666666666665,0,1,0,0,0,0,0,0,0,1,0,0,1,0
114,2007-08-23,88.0,69.5,78.75,69.0,71.0,0.0,14.0,2.1550000000000002,29.18,29.865000000000002,8.15,21.0,10.399999999999999,5.133333333333334,18.7,0,1,0,0,0,0,0,0,0,1,0,0,1,1
115,2007-08-24,80.5,69.0,74.75,67.0,69.0,0.0,10.0,0.22,29.134999999999998,29.814999999999998,5.65,25.0,7.199999999999999,5.15,18.666666666666668,0,1,0,0,0,0,0,0,0,1,0,0,1,0
116,2007-08-25,77.5,64.5,71.0,63.0,66.0,0.0,6.5,0.29500000000000004,29.259999999999998,29.92,2.7,19.5,6.0,5.166666666666667,18.65,0,1,0,0,0,0,0,0,0,1,0,0,0,0
117,2007-08-26,78.5,60.5,69.5,55.0,61.5,0.0,5.0,0.0,29.41,30.075,3.6500000000000004,11.0,5.0,5.183333333333334,18.616666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2007-08-27,79.0,61.5,70.25,59.5,64.0,0.0,5.5,0.0,29.384999999999998,30.064999999999998,6.45,16.5,7.35,5.2,18.583333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2007-08-28,90.5,68.0,79.25,65.5,70.0,0.0,14.5,0.0,29.310000000000002,29.985,8.4,20.5,8.9,5.216666666666667,18.566666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2007-08-29,85.5,68.5,77.0,64.5,69.0,0.0,12.5,0.0,29.365000000000002,30.03,5.449999999999999,3.0,8.5,5.233333333333333,18.533333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2007-08-30,75.0,58.5,66.75,54.0,60.5,0.0,2.0,0.0,29.490000000000002,30.165,9.95,2.5,10.4,5.25,18.516666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2007-08-31,76.5,57.0,66.75,53.0,59.5,0.0,2.0,0.0,29.494999999999997,30.18,3.45,5.0,4.9,5.266666666666667,18.483333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2007-09-01,80.0,58.5,69.25,55.5,61.5,0.0,4.5,0.0,29.515,30.21,4.300000000000001,11.0,4.7,5.283333333333333,18.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2007-09-02,84.5,61.5,73.0,56.5,63.0,0.0,8.0,0.0,29.439999999999998,30.14,4.5,21.0,5.5,5.3,18.433333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2007-09-03,88.0,65.0,76.5,61.0,67.0,0.0,11.5,0.0,29.39,30.08,2.5,26.0,6.0,5.316666666666666,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2007-09-04,89.5,65.0,77.25,59.5,66.5,0.0,12.5,0.0,29.310000000000002,29.994999999999997,2.5,23.0,4.65,5.333333333333333,18.366666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2007-09-05,90.5,69.0,79.75,62.5,69.0,0.0,15.0,0.0,29.275,29.950000000000003,6.4,19.0,6.6,5.35,18.35,0,0,0,0,0,0,0,0,0,1,0,0,0,0
128,2007-09-06,83.0,73.5,78.25,66.5,70.0,0.0,13.5,0.13,29.240000000000002,29.915,12.350000000000001,20.0,12.55,5.366666666666666,18.316666666666666,0,0,0,0,0,0,0,1,0,1,0,0,1,0
